link_works,repeat,date,Month,Year,Publications,Source,author,City,headline,content,Link,url,theme,theme2,oldtheme,oldtheme2,oldtheme3,impact location if intl,source of the reports,Source of news-gathering,News Initiating body,,,Passive,Types of talking heads,,,TONE,"sub-national policies or impacts (state, city, ecosystem)",name,equity & justice/ burden sharing,problem or the ask,,,temp ambition,Mit or Adpt,default adaptation (communities adaptive approaches) or maladaptation (poor devp choiceS),NAPCC/SAPCC,CO-BENEFITS,IPCC AR5,"COP number (about or around specific cop),COP(in general)","NON-COP CONVENTIONS (G20, BASIC meet, Montreal protocol)",fulltext,RS/LS
,,2,Jan,2013,DH,NYT,Elisabeth Rosenthal,,Irelandês carbon tax pays big dividends,"Over the last three years, with its economy in tatters, Ireland embraced a novel strategy to help reduce its staggering deficit: charging households and businesses for the environmental damage they cause.",http://www.deccanherald.com/content/302534/irelands-carbon-tax-pays-big.html,http://www.deccanherald.com/content/302534/irelands-carbon-tax-pays-big.html,GPL,,GP,,,AC,A6,B2,C1,,Govt of Ireland,P,D2,,,T4,,,,,,,,Mit,,,,,,,,
,,2,Jan,2013,BL,Opinion,N. R. Krishnan,Delhi,Doha climate talks not a failure,"The third and perhaps an important gain for India was the renewed commitment by developed countries to contribute to the Green Climate Fund, which would provide financial assistance to the developing countries to meet the costs of implementing their climate mitigation and adaptation efforts",http://www.thehindubusinessline.com/opinion/doha-climate-talks-not-a-failure/article4265776.ece,http://www.thehindubusinessline.com/opinion/doha-climate-talks-not-a-failure/article4265776.ece,MP,,GP,IP,,ACDC,A5,BCOP,C2,,COP18,P,ID2,,,IT6,,,BP,FIN,ACOP,,,,,,,,COP18,,,
NO LINK,,16,Jan,2013,TOI,Reuters,Deborah Zabarenko,Washington,Black carbon a powerful climate pollutant: Study,"Black carbon, the soot produced by burning fossil fuels and biomass, is a more potent atmospheric pollutant than previously thought, according to a four-year international study released on Tuesday",http://www.reuters.com/article/us-climate-black-carbon/black-carbon-a-powerful-climate-pollutant-international-study-idUSBRE90E0XD20130115,http://www.reuters.com/article/us-climate-black-carbon/black-carbon-a-powerful-climate-pollutant-international-study-idUSBRE90E0XD20130115,SS,GS,S,,,GLO,A1,B4,C6,,Journal of Geophysical Research-Atmospheres,,D4,D5,,T1,,,,,,,,,,,,,,,"WASHINGTON (Reuters) - Black carbon, the soot produced by burning fossil fuels and biomass, is a more potent atmospheric pollutant than previously thought, according to a four-year international study released on Tuesday.
 
 Vehicles drive on the Third Ring Road on a very hazy winter day in Beijing January 12, 2013. REUTERS/Jason Lee
 Emitted by diesel engines, brick kilns and wood-fired cookstoves, black carbon is second only to carbon dioxide as the most powerful climate pollutant, according to the study published in the Journal of Geophysical Research-Atmospheres.
 
 But because black carbon only lasts in the atmosphere a matter of days, compared to carbon dioxideês atmospheric endurance of centuries, addressing it could be prime target for curbing global warming, the report said.
 
 _This new research provides further compelling evidence to act on short-lived climate pollutants, including black carbon,Ó Achim Steiner, chief of the United Nations Environment Program, said in a statement.
 
 Steiner pointed to efforts under way to cut black carbon emissions from heavy-duty diesel vehicles, brick production and municipal waste disposal as part of the international Climate and Clean Air Coalition. The United States was one of the coalitionês founders last year.
 
 The U.S. Environmental Protection Agency in mid-December also tightened limits on soot pollution from power plants, diesel engines and burning wood from levels set in 1997.
 
 The report found black carbonês effect on climate is nearly twice what the United Nations Intergovernmental Panel on Climate Change estimated in its landmark 2007 assessment.
 
 At that time, climate scientists ranked black carbon third behind carbon dioxide and methane. The new research, conducted by a multinational team of 31 experts, moves black carbon up in the ranking.
 
 The new assessment found black carbon emissions caused significantly higher warming over the Arctic and other regions, could affect rainfall patterns, including those of the Asian monsoon system, and have led to rapid warming in the northern United States, Canada, northern Europe and northern Asia.
 
 The sooty particles that make up black carbon can be a major component of urban air pollution like that now blanketing Beijing, said Durwood Zaelke, president of the Washington-based non-profit Institute for Governance and Sustainable Development and a reviewer of the study before its publication.
 
 _Black carbon is not only more important for climate than we thought, it also kills over a million people every year who contract deadly respiratory diseases by breathing air polluted by black carbon,Ó Zaelke said in a statement.
 
 The study was published four days after the United States released a draft assessment of the climate, finding that the consequences of climate change are now evident in U.S. health, infrastructure, water supply, agriculture and especially more frequent severe weather.
 
 That report followed a U.S. announcement that found 2012 was the hottest year on record in the contiguous United States, with thousands of individual weather records shattered.",
NO LINK,Repeat,16,Jan,2013,ET,Reuters,Deborah Zabarenko,Washington,Black carbon a powerful climate pollutant: Study,"Black carbon, the soot produced by burning fossil fuels and biomass, is a more potent atmospheric pollutant than previously thought, according to a four-year international study released on Tuesday",http://www.reuters.com/article/us-climate-black-carbon/black-carbon-a-powerful-climate-pollutant-international-study-idUSBRE90E0XD20130115,http://www.reuters.com/article/us-climate-black-carbon/black-carbon-a-powerful-climate-pollutant-international-study-idUSBRE90E0XD20130115,SS,GS,S,,,GLO,A1,B4,C6,,Journal of Geophysical Research-Atmospheres,,D4,D5,,T1,,,,,,,,,,,,,,,"WASHINGTON (Reuters) - Black carbon, the soot produced by burning fossil fuels and biomass, is a more potent atmospheric pollutant than previously thought, according to a four-year international study released on Tuesday.
 
 Vehicles drive on the Third Ring Road on a very hazy winter day in Beijing January 12, 2013. REUTERS/Jason Lee
 Emitted by diesel engines, brick kilns and wood-fired cookstoves, black carbon is second only to carbon dioxide as the most powerful climate pollutant, according to the study published in the Journal of Geophysical Research-Atmospheres.
 
 But because black carbon only lasts in the atmosphere a matter of days, compared to carbon dioxideês atmospheric endurance of centuries, addressing it could be prime target for curbing global warming, the report said.
 
 _This new research provides further compelling evidence to act on short-lived climate pollutants, including black carbon,Ó Achim Steiner, chief of the United Nations Environment Program, said in a statement.
 
 Steiner pointed to efforts under way to cut black carbon emissions from heavy-duty diesel vehicles, brick production and municipal waste disposal as part of the international Climate and Clean Air Coalition. The United States was one of the coalitionês founders last year.
 
 The U.S. Environmental Protection Agency in mid-December also tightened limits on soot pollution from power plants, diesel engines and burning wood from levels set in 1997.
 
 The report found black carbonês effect on climate is nearly twice what the United Nations Intergovernmental Panel on Climate Change estimated in its landmark 2007 assessment.
 
 At that time, climate scientists ranked black carbon third behind carbon dioxide and methane. The new research, conducted by a multinational team of 31 experts, moves black carbon up in the ranking.
 
 The new assessment found black carbon emissions caused significantly higher warming over the Arctic and other regions, could affect rainfall patterns, including those of the Asian monsoon system, and have led to rapid warming in the northern United States, Canada, northern Europe and northern Asia.
 
 The sooty particles that make up black carbon can be a major component of urban air pollution like that now blanketing Beijing, said Durwood Zaelke, president of the Washington-based non-profit Institute for Governance and Sustainable Development and a reviewer of the study before its publication.
 
 _Black carbon is not only more important for climate than we thought, it also kills over a million people every year who contract deadly respiratory diseases by breathing air polluted by black carbon,Ó Zaelke said in a statement.
 
 The study was published four days after the United States released a draft assessment of the climate, finding that the consequences of climate change are now evident in U.S. health, infrastructure, water supply, agriculture and especially more frequent severe weather.
 
 That report followed a U.S. announcement that found 2012 was the hottest year on record in the contiguous United States, with thousands of individual weather records shattered.",
,,16,Jan,2013,MNT,AFP,,Washington,GLOBAL TEMPERATURES ABOVE AVERAGE IN 2012,"2012 marked the 10th warmest since records began in 1880, say US scientists",http://www.livemint.com/Politics/NRE3pEeW6HmZ1tJviGd9JL/Global-temperatures-above-average-in-2012.html?facet=print,http://www.livemint.com/Politics/NRE3pEeW6HmZ1tJviGd9JL/Global-temperatures-above-average-in-2012.html?facet=print,SS,GS,S,,,GLO,A1,B4,C6,,NOAA,,D1,,,T6,,,,,,,,,,,,,,,,
,Repeat,16,Jan,2013,TOI,AFP,,Washington,GLOBAL TEMPERATURES ABOVE AVERAGE IN 2012,"2012 marked the 10th warmest since records began in 1880, say US scientists",http://www.livemint.com/Politics/NRE3pEeW6HmZ1tJviGd9JL/Global-temperatures-above-average-in-2012.html?facet=print,http://www.livemint.com/Politics/NRE3pEeW6HmZ1tJviGd9JL/Global-temperatures-above-average-in-2012.html?facet=print,SS,GS,S,,,GLO,A1,B4,C6,,NOAA,,D1,,,T6,,,,,,,,,,,,,,,,
,Repeat,16,Jan,2013,ET,AFP,,Washington,GLOBAL TEMPERATURES ABOVE AVERAGE IN 2012,"2012 marked the 10th warmest since records began in 1880, say US scientists",http://www.livemint.com/Politics/NRE3pEeW6HmZ1tJviGd9JL/Global-temperatures-above-average-in-2012.html?facet=print,http://www.livemint.com/Politics/NRE3pEeW6HmZ1tJviGd9JL/Global-temperatures-above-average-in-2012.html?facet=print,SS,GS,S,,,GLO,A1,B4,C6,,NOAA,,D1,,,T6,,,,,,,,,,,,,,,,
,,16,Jan,2013,IE,REUTERS,,Washington,2012 was among 10 warmest years in global record - NASA/NOAA,"Last year was among the top 10 warmest in the modern global record, two U.S. climate-watching agencies reported",http://archive.indianexpress.com/news/2012-was-among-10-warmest-years-in-global-record--nasanoaa/1060131/,http://archive.indianexpress.com/news/2012-was-among-10-warmest-years-in-global-record--nasanoaa/1060131/,SS,GS,S,,,GLO,A1,B4,C6,,NOAA,,D1,D2,,T6,,,,,,,,,,,,,,,,
,Repeat,16,Jan,2013,FE,REUTERS,,Washington,2012 was among 10 warmest years in global record - NASA/NOAA,"Last year was among the top 10 warmest in the modern global record, two U.S. climate-watching agencies reported",http://archive.indianexpress.com/news/2012-was-among-10-warmest-years-in-global-record--nasanoaa/1060131/,http://archive.indianexpress.com/news/2012-was-among-10-warmest-years-in-global-record--nasanoaa/1060131/,SS,GS,S,,,GLO,A1,B4,C6,,NOAA,,D1,D2,,T6,,,,,,,,,,,,,,,,
,,30,Jan,2013,BL,PTI,,Washington,South Asian nations need to work together on climate change,"South Asian countries need to cooperate more with each other to make meaningful improvement on shared issues related to climate change and resource scarcity, a report released by a US-based think tank has said",http://www.thehindubusinessline.com/news/international/south-asian-nations-need-to-work-together-on-climate-change/article4360161.ece,http://www.thehindubusinessline.com/news/international/south-asian-nations-need-to-work-together-on-climate-change/article4360161.ece,GPT,,GP,,,DC,IA1,B1,C6,,University of Vermont and University of Queensland,,D5,,,T6,,,,,,,,,,,,,,,,
